crime_type,2021,2022,2023,pct_21_23,pct_21_22,pct_22_23
Abetment of Suicide (Sec.305/306 IPC),18722.0,18800.0,18772.0,0.2670654844567888,0.41662215575259054,-0.14893617021276595
Assault on Women with Intent to Outrage her Modesty,714.0,844.0,1050.0,47.05882352941176,18.207282913165265,24.407582938388625
Burglary (Sec.454 to 460 r/w Sec.380 IPC),195584.0,214444.0,215146.0,10.001840641361257,9.64291557591623,0.32735819141594075
Buying of Minors for Prostitution (Sec.373 IPC),4.0,6.0,8.0,100.0,50.0,33.33333333333333
Causing Death by Negligence,309384.0,333974.0,347860.0,12.436325084684405,7.948051612235926,4.157808691694563
Circulate False/Fake News/Rumours (Sec.505 IPC/Sec.505 r/w IT Act),1764.0,1716.0,2174.0,23.24263038548753,-2.7210884353741496,26.689976689976692
Counterfeiting,8.0,24.0,30.0,275.0,200.0,25.0
Criminal Intimidation (Sec.506 r/w Other IPC Crimes),246884.0,301864.0,334356.0,35.430404562466585,22.26956789423373,10.763787665968781
Criminal Misappropriation (Sec.403/404 r/w Other IPC),354.0,316.0,238.0,-32.7683615819209,-10.734463276836157,-24.68354430379747
Cruelty by Husband or his Relatives (Sec.498-A IPC),272468.0,280038.0,267352.0,-1.8776516875376192,2.7783079113877593,-4.530099486498261
Culpable Homicide not Amounting to Murder (Sec. 304 IPC),7614.0,7242.0,7114.0,-6.566850538481744,-4.885736800630418,-1.7674675504004418
Dacoity,38.0,22.0,28.0,-26.31578947368421,-42.10526315789473,27.27272727272727
Dowry Deaths (Sec.304-B IPC),13506.0,12900.0,12312.0,-8.840515326521546,-4.486894713460684,-4.55813953488372
Exploitation of Trafficked Person (Sec. 370A IPC),,506.0,390.0,,,-22.92490118577075
Exploitation of Trafficked Person (Section 370A IPC),230.0,,,,,
"Forgery, Cheating & Fraud",338962.0,381786.0,408154.0,20.41290764156454,12.633864562989361,6.906486880084654
Hurt,585690.0,616618.0,650186.0,11.011968788949785,5.280609195991053,5.443889085300786
Insult to the Modesty of Women (Sec.509 IPC),15576.0,,,,,
Kidnapping and Abduction,55092.0,60138.0,59272.0,7.587308502141872,9.1592245698105,-1.440021284379261
Making Preparation and Assembly for committing Dacoity (Sec.399 & 402 IPC),8120.0,8160.0,8032.0,-1.083743842364532,0.49261083743842365,-1.5686274509803921
Murder (Sec.302 IPC),58544.0,57044.0,55442.0,-5.298578846679421,-2.5621754577753486,-2.808358460136035
Obstruction on Public way (Sec.283 IPC),117124.0,187096.0,302938.0,158.64724565417848,59.741812096581405,61.91580792748108
Offences Relating to Documents & Property Marks (Total),305544.0,343142.0,364428.0,19.27185609928521,12.30526536276281,6.203262789166001
Offences promoting enmity between different groups (Total),2208.0,3140.0,4310.0,95.19927536231883,42.210144927536234,37.261146496815286
Offences relating to Elections (Sec.171-E to 171-I r/w IPC/SLL),6180.0,1862.0,4248.0,-31.2621359223301,-69.87055016181229,128.1417830290011
Rash Driving on Public way,227826.0,257178.0,274768.0,20.60432084134383,12.88351636775434,6.839620807378548
Rioting (Sec.147-151 IPC),3800.0,3156.0,2594.0,-31.736842105263158,-16.94736842105263,-17.807351077313054
Sale of obscene Books/Objects (Sec.292 & 293),122.0,,,,,
Sale of obscene Books/Objects (Sec292 & 293 IPC),,98.0,566.0,,,477.5510204081633
Selling of Minors for Prostitution (Sec.372 IPC),30.0,18.0,24.0,-20.0,-40.0,33.33333333333333
Theft (Section 379 IPC),699708.0,800324.0,877900.0,25.466623219971762,14.379712680146575,9.693074304906514
"Unlawful Assembly (Sec.143, 144 & 145)",28314.0,22782.0,20004.0,-29.34943844034753,-19.538037719855904,-12.193837239926257
