state,crime_type,count,year
Andhra Pradesh,Murder (Sec.302 IPC),956.0,2021
Arunachal Pradesh,Murder (Sec.302 IPC),49.0,2021
Assam,Murder (Sec.302 IPC),1192.0,2021
Bihar,Murder (Sec.302 IPC),2799.0,2021
Chhattisgarh,Murder (Sec.302 IPC),1007.0,2021
Goa,Murder (Sec.302 IPC),26.0,2021
Gujarat,Murder (Sec.302 IPC),1010.0,2021
Haryana,Murder (Sec.302 IPC),1112.0,2021
Himachal Pradesh,Murder (Sec.302 IPC),86.0,2021
Jharkhand,Murder (Sec.302 IPC),1573.0,2021
Karnataka,Murder (Sec.302 IPC),1357.0,2021
Kerala,Murder (Sec.302 IPC),337.0,2021
Madhya Pradesh,Murder (Sec.302 IPC),2034.0,2021
Maharashtra,Murder (Sec.302 IPC),2330.0,2021
Manipur,Murder (Sec.302 IPC),46.0,2021
Meghalaya,Murder (Sec.302 IPC),80.0,2021
Mizoram,Murder (Sec.302 IPC),24.0,2021
Nagaland,Murder (Sec.302 IPC),27.0,2021
Odisha,Murder (Sec.302 IPC),1394.0,2021
Punjab,Murder (Sec.302 IPC),723.0,2021
Rajasthan,Murder (Sec.302 IPC),1786.0,2021
Sikkim,Murder (Sec.302 IPC),14.0,2021
Tamil Nadu,Murder (Sec.302 IPC),1686.0,2021
Telangana,Murder (Sec.302 IPC),1026.0,2021
Tripura,Murder (Sec.302 IPC),122.0,2021
Uttar Pradesh,Murder (Sec.302 IPC),3717.0,2021
Uttarakhand,Murder (Sec.302 IPC),208.0,2021
West Bengal,Murder (Sec.302 IPC),1884.0,2021
TOTAL STATE(S),Murder (Sec.302 IPC),28605.0,2021
Chandigarh,Murder (Sec.302 IPC),16.0,2021
D&N Haveli and Daman & Diu,Murder (Sec.302 IPC),17.0,2021
Delhi,Murder (Sec.302 IPC),14.0,2021
Jammu & Kashmir,Murder (Sec.302 IPC),459.0,2021
Ladakh,Murder (Sec.302 IPC),136.0,2021
Lakshadweep,Murder (Sec.302 IPC),5.0,2021
Puducherry,Murder (Sec.302 IPC),1.0,2021
TOTAL UT(S),Murder (Sec.302 IPC),19.0,2021
TOTAL ALL INDIA,Murder (Sec.302 IPC),667.0,2021
Andhra Pradesh,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),112.0,2021
Arunachal Pradesh,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),3.0,2021
Assam,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),95.0,2021
Bihar,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),136.0,2021
Chhattisgarh,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),42.0,2021
Goa,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),2.0,2021
Gujarat,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),114.0,2021
Haryana,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),45.0,2021
Himachal Pradesh,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),8.0,2021
Jharkhand,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),41.0,2021
Karnataka,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),84.0,2021
Kerala,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),78.0,2021
Madhya Pradesh,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),197.0,2021
Maharashtra,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),276.0,2021
Manipur,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),9.0,2021
Meghalaya,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),10.0,2021
Mizoram,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),9.0,2021
Nagaland,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),2.0,2021
Odisha,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),12.0,2021
Punjab,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),177.0,2021
Rajasthan,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),96.0,2021
Sikkim,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),2.0,2021
Tamil Nadu,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),71.0,2021
Telangana,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),428.0,2021
Tripura,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),5.0,2021
Uttar Pradesh,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),1371.0,2021
Uttarakhand,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),42.0,2021
West Bengal,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),246.0,2021
TOTAL STATE(S),Culpable Homicide not Amounting to Murder (Sec. 304 IPC),3713.0,2021
Chandigarh,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),3.0,2021
D&N Haveli and Daman & Diu,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),1.0,2021
Delhi,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),1.0,2021
Jammu & Kashmir,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),60.0,2021
Ladakh,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),27.0,2021
Lakshadweep,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),2.0,2021
Puducherry,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),0.0,2021
TOTAL UT(S),Culpable Homicide not Amounting to Murder (Sec. 304 IPC),0.0,2021
TOTAL ALL INDIA,Culpable Homicide not Amounting to Murder (Sec. 304 IPC),94.0,2021
Andhra Pradesh,Causing Death by Negligence,7863.0,2021
Arunachal Pradesh,Causing Death by Negligence,158.0,2021
Assam,Causing Death by Negligence,3102.0,2021
Bihar,Causing Death by Negligence,7062.0,2021
Chhattisgarh,Causing Death by Negligence,5278.0,2021
Goa,Causing Death by Negligence,128.0,2021
Gujarat,Causing Death by Negligence,6790.0,2021
Haryana,Causing Death by Negligence,4731.0,2021
Himachal Pradesh,Causing Death by Negligence,705.0,2021
Jharkhand,Causing Death by Negligence,3457.0,2021
Karnataka,Causing Death by Negligence,9803.0,2021
Kerala,Causing Death by Negligence,2744.0,2021
Madhya Pradesh,Causing Death by Negligence,12257.0,2021
Maharashtra,Causing Death by Negligence,13190.0,2021
Manipur,Causing Death by Negligence,95.0,2021
Meghalaya,Causing Death by Negligence,126.0,2021
Mizoram,Causing Death by Negligence,43.0,2021
Nagaland,Causing Death by Negligence,28.0,2021
Odisha,Causing Death by Negligence,4755.0,2021
Punjab,Causing Death by Negligence,2955.0,2021
Rajasthan,Causing Death by Negligence,9225.0,2021
Sikkim,Causing Death by Negligence,49.0,2021
Tamil Nadu,Causing Death by Negligence,15012.0,2021
Telangana,Causing Death by Negligence,7254.0,2021
Tripura,Causing Death by Negligence,190.0,2021
Uttar Pradesh,Causing Death by Negligence,21317.0,2021
Uttarakhand,Causing Death by Negligence,518.0,2021
West Bengal,Causing Death by Negligence,4885.0,2021
TOTAL STATE(S),Causing Death by Negligence,143720.0,2021
Chandigarh,Causing Death by Negligence,29.0,2021
D&N Haveli and Daman & Diu,Causing Death by Negligence,80.0,2021
Delhi,Causing Death by Negligence,91.0,2021
Jammu & Kashmir,Causing Death by Negligence,1455.0,2021
Ladakh,Causing Death by Negligence,627.0,2021
Lakshadweep,Causing Death by Negligence,50.0,2021
Puducherry,Causing Death by Negligence,1.0,2021
TOTAL UT(S),Causing Death by Negligence,142.0,2021
TOTAL ALL INDIA,Causing Death by Negligence,2475.0,2021
Andhra Pradesh,Causing Death by Negligence,290.0,2021
Arunachal Pradesh,Causing Death by Negligence,39.0,2021
Assam,Causing Death by Negligence,490.0,2021
Bihar,Causing Death by Negligence,1.0,2021
Chhattisgarh,Causing Death by Negligence,594.0,2021
Goa,Causing Death by Negligence,7.0,2021
Gujarat,Causing Death by Negligence,69.0,2021
Haryana,Causing Death by Negligence,198.0,2021
Himachal Pradesh,Causing Death by Negligence,48.0,2021
Jharkhand,Causing Death by Negligence,656.0,2021
Karnataka,Causing Death by Negligence,297.0,2021
Kerala,Causing Death by Negligence,44.0,2021
Madhya Pradesh,Causing Death by Negligence,375.0,2021
Maharashtra,Causing Death by Negligence,787.0,2021
Manipur,Causing Death by Negligence,0.0,2021
Meghalaya,Causing Death by Negligence,17.0,2021
Mizoram,Causing Death by Negligence,2.0,2021
Nagaland,Causing Death by Negligence,0.0,2021
Odisha,Causing Death by Negligence,18.0,2021
Punjab,Causing Death by Negligence,35.0,2021
Rajasthan,Causing Death by Negligence,554.0,2021
Sikkim,Causing Death by Negligence,5.0,2021
Tamil Nadu,Causing Death by Negligence,263.0,2021
Telangana,Causing Death by Negligence,153.0,2021
Tripura,Causing Death by Negligence,7.0,2021
Uttar Pradesh,Causing Death by Negligence,3064.0,2021
Uttarakhand,Causing Death by Negligence,0.0,2021
West Bengal,Causing Death by Negligence,61.0,2021
TOTAL STATE(S),Causing Death by Negligence,8074.0,2021
Chandigarh,Causing Death by Negligence,9.0,2021
D&N Haveli and Daman & Diu,Causing Death by Negligence,0.0,2021
Delhi,Causing Death by Negligence,20.0,2021
Jammu & Kashmir,Causing Death by Negligence,228.0,2021
Ladakh,Causing Death by Negligence,25.0,2021
