state,crime_type,count,year
andhra pradesh,murder (sec.302 ipc),956.0,2021
arunachal pradesh,murder (sec.302 ipc),49.0,2021
assam,murder (sec.302 ipc),1192.0,2021
bihar,murder (sec.302 ipc),2799.0,2021
chhattisgarh,murder (sec.302 ipc),1007.0,2021
goa,murder (sec.302 ipc),26.0,2021
gujarat,murder (sec.302 ipc),1010.0,2021
haryana,murder (sec.302 ipc),1112.0,2021
himachal pradesh,murder (sec.302 ipc),86.0,2021
jharkhand,murder (sec.302 ipc),1573.0,2021
karnataka,murder (sec.302 ipc),1357.0,2021
kerala,murder (sec.302 ipc),337.0,2021
madhya pradesh,murder (sec.302 ipc),2034.0,2021
maharashtra,murder (sec.302 ipc),2330.0,2021
manipur,murder (sec.302 ipc),46.0,2021
meghalaya,murder (sec.302 ipc),80.0,2021
mizoram,murder (sec.302 ipc),24.0,2021
nagaland,murder (sec.302 ipc),27.0,2021
odisha,murder (sec.302 ipc),1394.0,2021
punjab,murder (sec.302 ipc),723.0,2021
rajasthan,murder (sec.302 ipc),1786.0,2021
sikkim,murder (sec.302 ipc),14.0,2021
tamil nadu,murder (sec.302 ipc),1686.0,2021
telangana,murder (sec.302 ipc),1026.0,2021
tripura,murder (sec.302 ipc),122.0,2021
uttar pradesh,murder (sec.302 ipc),3717.0,2021
uttarakhand,murder (sec.302 ipc),208.0,2021
west bengal,murder (sec.302 ipc),1884.0,2021
total state(s),murder (sec.302 ipc),28605.0,2021
chandigarh,murder (sec.302 ipc),16.0,2021
d&n haveli and daman & diu,murder (sec.302 ipc),17.0,2021
delhi,murder (sec.302 ipc),14.0,2021
jammu & kashmir,murder (sec.302 ipc),459.0,2021
ladakh,murder (sec.302 ipc),136.0,2021
lakshadweep,murder (sec.302 ipc),5.0,2021
puducherry,murder (sec.302 ipc),1.0,2021
total ut(s),murder (sec.302 ipc),19.0,2021
total all india,murder (sec.302 ipc),667.0,2021
andhra pradesh,culpable homicide not amounting to murder (sec. 304 ipc),112.0,2021
arunachal pradesh,culpable homicide not amounting to murder (sec. 304 ipc),3.0,2021
assam,culpable homicide not amounting to murder (sec. 304 ipc),95.0,2021
bihar,culpable homicide not amounting to murder (sec. 304 ipc),136.0,2021
chhattisgarh,culpable homicide not amounting to murder (sec. 304 ipc),42.0,2021
goa,culpable homicide not amounting to murder (sec. 304 ipc),2.0,2021
gujarat,culpable homicide not amounting to murder (sec. 304 ipc),114.0,2021
haryana,culpable homicide not amounting to murder (sec. 304 ipc),45.0,2021
himachal pradesh,culpable homicide not amounting to murder (sec. 304 ipc),8.0,2021
jharkhand,culpable homicide not amounting to murder (sec. 304 ipc),41.0,2021
karnataka,culpable homicide not amounting to murder (sec. 304 ipc),84.0,2021
kerala,culpable homicide not amounting to murder (sec. 304 ipc),78.0,2021
madhya pradesh,culpable homicide not amounting to murder (sec. 304 ipc),197.0,2021
maharashtra,culpable homicide not amounting to murder (sec. 304 ipc),276.0,2021
manipur,culpable homicide not amounting to murder (sec. 304 ipc),9.0,2021
meghalaya,culpable homicide not amounting to murder (sec. 304 ipc),10.0,2021
mizoram,culpable homicide not amounting to murder (sec. 304 ipc),9.0,2021
nagaland,culpable homicide not amounting to murder (sec. 304 ipc),2.0,2021
odisha,culpable homicide not amounting to murder (sec. 304 ipc),12.0,2021
punjab,culpable homicide not amounting to murder (sec. 304 ipc),177.0,2021
rajasthan,culpable homicide not amounting to murder (sec. 304 ipc),96.0,2021
sikkim,culpable homicide not amounting to murder (sec. 304 ipc),2.0,2021
tamil nadu,culpable homicide not amounting to murder (sec. 304 ipc),71.0,2021
telangana,culpable homicide not amounting to murder (sec. 304 ipc),428.0,2021
tripura,culpable homicide not amounting to murder (sec. 304 ipc),5.0,2021
uttar pradesh,culpable homicide not amounting to murder (sec. 304 ipc),1371.0,2021
uttarakhand,culpable homicide not amounting to murder (sec. 304 ipc),42.0,2021
west bengal,culpable homicide not amounting to murder (sec. 304 ipc),246.0,2021
total state(s),culpable homicide not amounting to murder (sec. 304 ipc),3713.0,2021
chandigarh,culpable homicide not amounting to murder (sec. 304 ipc),3.0,2021
d&n haveli and daman & diu,culpable homicide not amounting to murder (sec. 304 ipc),1.0,2021
delhi,culpable homicide not amounting to murder (sec. 304 ipc),1.0,2021
jammu & kashmir,culpable homicide not amounting to murder (sec. 304 ipc),60.0,2021
ladakh,culpable homicide not amounting to murder (sec. 304 ipc),27.0,2021
lakshadweep,culpable homicide not amounting to murder (sec. 304 ipc),2.0,2021
puducherry,culpable homicide not amounting to murder (sec. 304 ipc),0.0,2021
total ut(s),culpable homicide not amounting to murder (sec. 304 ipc),0.0,2021
total all india,culpable homicide not amounting to murder (sec. 304 ipc),94.0,2021
andhra pradesh,causing death by negligence,7863.0,2021
arunachal pradesh,causing death by negligence,158.0,2021
assam,causing death by negligence,3102.0,2021
bihar,causing death by negligence,7062.0,2021
chhattisgarh,causing death by negligence,5278.0,2021
goa,causing death by negligence,128.0,2021
gujarat,causing death by negligence,6790.0,2021
haryana,causing death by negligence,4731.0,2021
himachal pradesh,causing death by negligence,705.0,2021
jharkhand,causing death by negligence,3457.0,2021
karnataka,causing death by negligence,9803.0,2021
kerala,causing death by negligence,2744.0,2021
madhya pradesh,causing death by negligence,12257.0,2021
maharashtra,causing death by negligence,13190.0,2021
manipur,causing death by negligence,95.0,2021
meghalaya,causing death by negligence,126.0,2021
mizoram,causing death by negligence,43.0,2021
nagaland,causing death by negligence,28.0,2021
odisha,causing death by negligence,4755.0,2021
punjab,causing death by negligence,2955.0,2021
rajasthan,causing death by negligence,9225.0,2021
sikkim,causing death by negligence,49.0,2021
tamil nadu,causing death by negligence,15012.0,2021
telangana,causing death by negligence,7254.0,2021
tripura,causing death by negligence,190.0,2021
uttar pradesh,causing death by negligence,21317.0,2021
uttarakhand,causing death by negligence,518.0,2021
west bengal,causing death by negligence,4885.0,2021
total state(s),causing death by negligence,143720.0,2021
chandigarh,causing death by negligence,29.0,2021
d&n haveli and daman & diu,causing death by negligence,80.0,2021
delhi,causing death by negligence,91.0,2021
jammu & kashmir,causing death by negligence,1455.0,2021
ladakh,causing death by negligence,627.0,2021
lakshadweep,causing death by negligence,50.0,2021
puducherry,causing death by negligence,1.0,2021
total ut(s),causing death by negligence,142.0,2021
total all india,causing death by negligence,2475.0,2021
andhra pradesh,causing death by negligence,290.0,2021
arunachal pradesh,causing death by negligence,39.0,2021
assam,causing death by negligence,490.0,2021
bihar,causing death by negligence,1.0,2021
chhattisgarh,causing death by negligence,594.0,2021
goa,causing death by negligence,7.0,2021
gujarat,causing death by negligence,69.0,2021
haryana,causing death by negligence,198.0,2021
himachal pradesh,causing death by negligence,48.0,2021
jharkhand,causing death by negligence,656.0,2021
karnataka,causing death by negligence,297.0,2021
kerala,causing death by negligence,44.0,2021
madhya pradesh,causing death by negligence,375.0,2021
maharashtra,causing death by negligence,787.0,2021
manipur,causing death by negligence,0.0,2021
meghalaya,causing death by negligence,17.0,2021
mizoram,causing death by negligence,2.0,2021
nagaland,causing death by negligence,0.0,2021
odisha,causing death by negligence,18.0,2021
punjab,causing death by negligence,35.0,2021
rajasthan,causing death by negligence,554.0,2021
sikkim,causing death by negligence,5.0,2021
tamil nadu,causing death by negligence,263.0,2021
telangana,causing death by negligence,153.0,2021
tripura,causing death by negligence,7.0,2021
uttar pradesh,causing death by negligence,3064.0,2021
uttarakhand,causing death by negligence,0.0,2021
west bengal,causing death by negligence,61.0,2021
total state(s),causing death by negligence,8074.0,2021
chandigarh,causing death by negligence,9.0,2021
d&n haveli and daman & diu,causing death by negligence,0.0,2021
delhi,causing death by negligence,20.0,2021
jammu & kashmir,causing death by negligence,228.0,2021
ladakh,causing death by negligence,25.0,2021
lakshadweep,causing death by negligence,0.0,2021
puducherry,causing death by negligence,0.0,2021
total ut(s),causing death by negligence,141.0,2021
total all india,causing death by negligence,423.0,2021
andhra pradesh,dowry deaths (sec.304-b ipc),108.0,2021
arunachal pradesh,dowry deaths (sec.304-b ipc),0.0,2021
assam,dowry deaths (sec.304-b ipc),198.0,2021
bihar,dowry deaths (sec.304-b ipc),1000.0,2021
chhattisgarh,dowry deaths (sec.304-b ipc),65.0,2021
goa,dowry deaths (sec.304-b ipc),0.0,2021
gujarat,dowry deaths (sec.304-b ipc),11.0,2021
haryana,dowry deaths (sec.304-b ipc),275.0,2021
himachal pradesh,dowry deaths (sec.304-b ipc),2.0,2021
jharkhand,dowry deaths (sec.304-b ipc),281.0,2021
karnataka,dowry deaths (sec.304-b ipc),158.0,2021
kerala,dowry deaths (sec.304-b ipc),9.0,2021
madhya pradesh,dowry deaths (sec.304-b ipc),522.0,2021
maharashtra,dowry deaths (sec.304-b ipc),172.0,2021
manipur,dowry deaths (sec.304-b ipc),2.0,2021
meghalaya,dowry deaths (sec.304-b ipc),0.0,2021
mizoram,dowry deaths (sec.304-b ipc),0.0,2021
nagaland,dowry deaths (sec.304-b ipc),0.0,2021
odisha,dowry deaths (sec.304-b ipc),293.0,2021
punjab,dowry deaths (sec.304-b ipc),69.0,2021
rajasthan,dowry deaths (sec.304-b ipc),452.0,2021
sikkim,dowry deaths (sec.304-b ipc),0.0,2021
