state,year,total_crimes,pct_change
A&N Islands,2021,386,
A&N Islands,2022,460,19.17098445595855
A&N Islands,2023,587,27.60869565217392
Andhra Pradesh,2021,179611,
Andhra Pradesh,2022,158547,-11.727566797133804
Andhra Pradesh,2023,153867,-2.9518060890461495
Arunachal Pradesh,2021,2626,
Arunachal Pradesh,2022,2308,-12.10967250571211
Arunachal Pradesh,2023,2505,8.53552859618718
Assam,2021,119883,
Assam,2022,59315,-50.52259286137317
Assam,2023,49884,-15.899856697294112
Bihar,2021,186006,
Bihar,2022,211079,13.479672698730138
Bihar,2023,231627,9.734743863671902
Chandigarh,2021,2401,
Chandigarh,2022,2941,22.49062890462308
Chandigarh,2023,3285,11.696701802108134
Chhattisgarh,2021,70519,
Chhattisgarh,2022,73822,4.683844070392373
Chhattisgarh,2023,67961,-7.9393676681748016
D&N Haveli and Daman & Diu,2021,490,
D&N Haveli and Daman & Diu,2022,1184,141.6326530612245
D&N Haveli and Daman & Diu,2023,761,-35.72635135135135
Delhi,2021,291904,
Delhi,2022,300429,2.9204807059855398
Delhi,2023,324257,7.931324872099554
Goa,2021,2099,
Goa,2022,2711,29.156741305383527
Goa,2023,2094,-22.75912947251937
Gujarat,2021,273056,
Gujarat,2022,134600,-50.70608226883863
Gujarat,2023,170657,26.788261515601786
Haryana,2021,112720,
Haryana,2022,125435,11.280163236337826
Haryana,2023,129294,3.0764938015705345
Himachal Pradesh,2021,13041,
Himachal Pradesh,2022,13231,1.4569434859289965
Himachal Pradesh,2023,13505,2.070894112312005
Jammu & Kashmir,2021,27447,
Jammu & Kashmir,2022,25915,-5.5816664844973936
Jammu & Kashmir,2023,25127,-3.0407100135056875
Jharkhand,2021,47684,
Jharkhand,2022,48726,2.185219360791879
Jharkhand,2023,50187,2.998399211919711
Karnataka,2021,115728,
Karnataka,2022,129461,11.866618277339969
Karnataka,2023,148648,14.82067958690263
Kerala,2021,142643,
Kerala,2022,235858,65.348457337549
Kerala,2023,258538,9.615955362972638
Ladakh,2021,519,
Ladakh,2022,439,-15.41425818882466
Ladakh,2023,459,4.555808656036442
Lakshadweep,2021,89,
Lakshadweep,2022,64,-28.08988764044944
Lakshadweep,2023,76,18.75
Madhya Pradesh,2021,304066,
Madhya Pradesh,2022,298578,-1.8048713108338332
Madhya Pradesh,2023,297689,-0.2977446429408781
Maharashtra,2021,367218,
Maharashtra,2022,374038,1.8572074353653711
Maharashtra,2023,385623,3.0972788861024725
Manipur,2021,2484,
Manipur,2022,3029,21.940418679549122
Manipur,2023,19192,533.6084516342028
Meghalaya,2021,2672,
Meghalaya,2022,2914,9.056886227544902
Meghalaya,2023,2730,-6.314344543582706
Mizoram,2021,2467,
Mizoram,2022,3587,45.39927036886908
Mizoram,2023,3281,-8.530805687203792
Nagaland,2021,1033,
Nagaland,2022,1008,-2.4201355275895398
Nagaland,2023,1050,4.166666666666674
Odisha,2021,124956,
Odisha,2022,143414,14.77159960306027
Odisha,2023,170022,18.55327931722146
Puducherry,2021,3851,
Puducherry,2022,3237,-15.943910672552587
Puducherry,2023,3348,3.429101019462455
Punjab,2021,46454,
Punjab,2022,43738,-5.846643991905975
Punjab,2023,44872,2.592711143627957
Rajasthan,2021,214552,
Rajasthan,2022,236090,10.03859204295463
Rajasthan,2023,234985,-0.4680418484476312
Sikkim,2021,532,
Sikkim,2022,549,3.195488721804507
Sikkim,2023,511,-6.921675774134794
TOTAL ALL INDIA,2021,3663360,
TOTAL ALL INDIA,2022,3561379,-2.7838104909154393
TOTAL ALL INDIA,2023,3763102,5.66418232937298
TOTAL STATE(S),2021,3336273,
TOTAL STATE(S),2022,3226710,-3.28399384582736
TOTAL STATE(S),2023,3405202,5.531702570110109
TOTAL UT(S),2021,327087,
TOTAL UT(S),2022,334669,2.3180377086218673
TOTAL UT(S),2023,357900,6.941485467730812
Tamil Nadu,2021,322852,
Tamil Nadu,2022,193913,-39.937494579559676
Tamil Nadu,2023,203804,5.10074105397782
Telangana,2021,146131,
Telangana,2022,151849,3.9129274418159055
Telangana,2023,156737,3.2189872834197164
Tripura,2021,4133,
Tripura,2022,3653,-11.613839825792404
Tripura,2023,3814,4.407336435806197
Uttar Pradesh,2021,357905,
Uttar Pradesh,2022,401787,12.260795462483065
Uttar Pradesh,2023,428794,6.721720712715951
Uttarakhand,2021,15704,
Uttarakhand,2022,16967,8.04253693326542
Uttarakhand,2023,17094,0.7485118170566407
West Bengal,2021,157498,
West Bengal,2022,156503,-0.6317540540197286
West Bengal,2023,156237,-0.16996479300716016
