state,total_crimes,year,crimes_against_women,women_crime_percentage
andhra pradesh,61033.0,2023,22418,36.7309488309603
arunachal pradesh,1569.0,2023,326,20.777565328234544
assam,31959.0,2023,12070,37.76713914703214
bihar,142239.0,2023,22952,16.136221430128163
chandigarh,365.0,2023,371,101.64383561643835
chhattisgarh,45357.0,2023,8035,17.715016425248585
d&n haveli and daman & diu,1231.0,2023,124,10.07311129163282
nct of delhi,669.0,2023,13439,2008.8191330343798
goa,1252.0,2023,286,22.843450479233226
gujarat,97292.0,2023,7805,8.02224232208198
haryana,57842.0,2023,15758,27.243179696414373
himachal pradesh,8432.0,2023,1604,19.022770398481974
jammu and kashmir,242039.0,2023,3653,1.5092609042344416
jharkhand,29729.0,2023,6989,23.50903158532073
karnataka,88072.0,2023,20336,23.090198928149697
kerala,88365.0,2023,16025,18.135008204605896
ladakh,9380.0,2023,20,0.21321961620469082
lakshadweep,231.0,2023,23,9.956709956709958
madhya pradesh,163183.0,2023,32342,19.819466488543537
maharashtra,227081.0,2023,47101,20.74193789881144
manipur,3033.0,2023,201,6.627101879327399
meghalaya,1947.0,2023,628,32.2547508988187
mizoram,2683.0,2023,184,6.857994781960492
nagaland,484.0,2023,56,11.570247933884298
orissa,86173.0,2023,25914,30.072064335696798
puducherry,51.0,2023,212,415.686274509804
punjab,25733.0,2023,5258,20.43290716200987
rajasthan,161352.0,2023,45450,28.168228469433288
sikkim,374.0,2023,134,35.82887700534759
tamil nadu,102036.0,2023,8943,8.764553686934024
telangana,101806.0,2023,23678,23.257961220360293
total all india,255526.0,2023,448211,175.40719926739354
total state(s),1864322.0,2023,430164,23.07348194142428
total ut(s),1560.0,2023,18047,1156.8589743589744
tripura,2113.0,2023,791,37.43492664458116
uttar pradesh,251146.0,2023,66381,26.43123919950945
uttarakhand,10762.0,2023,3808,35.38375766586137
west bengal,71275.0,2023,34691,48.67204489652753
